"SYMBOL","ENTREZID","ENSEMBL"
"H1-2","3006","ENSG00000187837"
"CHCHD10","400916","ENSG00000250479"
"GLRX5","51218","ENSG00000182512"
"RETREG1","54463","ENSG00000154153"
"DBI","1622","ENSG00000155368"
"MPC2","25874","ENSG00000143158"
"ATP6AP2","10159","ENSG00000182220"
"CKB","1152","ENSG00000166165"
"HSBP1","3281","ENSG00000230989"
"TMEM160","54958","ENSG00000130748"
"FKBP4","2288","ENSG00000004478"
"ATP5F1A","498","ENSG00000152234"
"GASK1B","51313","ENSG00000164125"
"PRSS23","11098","ENSG00000150687"
"EPN3","55040","ENSG00000049283"
"TM7SF2","7108","ENSG00000149809"
"DCAF6","55827","ENSG00000143164"
"FCGRT","2217","ENSG00000104870"
"SNHG25","105376843","ENSG00000266402"
"GADD45G","10912","ENSG00000130222"
"PBX1","5087","ENSG00000185630"
"SELENOP","6414","ENSG00000250722"
"RWDD4","201965","ENSG00000182552"
"MAST4","375449","ENSG00000069020"
"TBC1D9","23158","ENSG00000109436"
"SCD","6319","ENSG00000099194"
"GGA2","23062","ENSG00000103365"
"RERG","85004","ENSG00000134533"
"ETFB","2109","ENSG00000105379"
"NUCB2","4925","ENSG00000070081"
"STARD10","10809","ENSG00000214530"
"HERPUD1","9709","ENSG00000051108"
"RBBP7","5931","ENSG00000102054"
"GTF2I","2969","ENSG00000263001"
"CKS2","1164","ENSG00000123975"
"SUSD3","203328","ENSG00000157303"
"ATP5MC3","518","ENSG00000154518"
"HSPE1","3336","ENSG00000115541"
"CLDN3","1365","ENSG00000165215"
"TIMP3","7078","ENSG00000100234"
"HPN","3249","ENSG00000105707"
"COX7B","1349","ENSG00000131174"
"AMZ2","51321","ENSG00000196704"
"RSBN1L","222194","ENSG00000187257"
"CMBL","134147","ENSG00000164237"
"DNPH1","10591","ENSG00000112667"
"CTSF","8722","ENSG00000174080"
"ESR1","2099","ENSG00000091831"
"ACO2","50","ENSG00000100412"
"IGFBP4","3487","ENSG00000141753"
"PCMTD1","115294","ENSG00000168300"
"CAPG","822","ENSG00000042493"
"PXMP2","5827","ENSG00000176894"
"MAGED2","10916","ENSG00000102316"
"TNNT1","7138","ENSG00000105048"
"PRKAR1A","5573","ENSG00000108946"
"C18orf32","497661","ENSG00000177576"
"H2BC5","3017","ENSG00000158373"
"NDUFB5","4711","ENSG00000136521"
"AHCYL1","10768","ENSG00000168710"
"ATP6AP1","537","ENSG00000071553"
"TPD52L1","7164","ENSG00000111907"
"MDH2","4191","ENSG00000146701"
"SORD","6652","ENSG00000140263"
"TEX264","51368","ENSG00000164081"
"CYC1","1537","ENSG00000179091"
"KIF12","113220","ENSG00000136883"
"EGR1","1958","ENSG00000120738"
"HINT2","84681","ENSG00000137133"
"CSAD","51380","ENSG00000139631"
"SRI","6717","ENSG00000075142"
